,max,average,median
fault,344,123.58707047175305,98.0
fauna,924,365.7379149679674,224.0
favor,363,152.26849155503785,154.0
feast,227,85.46592894583576,58.0
fecal,272,113.5171811298777,76.0
feign,382,162.3640069889342,104.0
fella,481,236.3284799068142,338.0
felon,256,107.66860803727431,89.0
femme,1566,794.7617938264415,547.0
femur,359,151.25043680838672,109.0
fence,914,349.90914385556204,184.0
feral,229,86.91496796738497,75.0
ferry,627,304.0215492137449,203.0
fetal,220,96.9452533488643,82.0
fetch,390,171.13046010483401,90.0
fetid,327,139.0011648223646,86.0
fetus,317,133.30401863715784,93.0
fever,942,420.7070471753058,293.0
fewer,931,401.68608037274316,300.0
fiber,315,131.27722772277227,111.0
ficus,469,193.77577169481654,116.0
field,350,144.35818287711123,91.0
fiend,364,155.8887594641817,72.0
fiery,237,116.0879440885265,129.0
fifth,752,368.6278392545137,225.0
fifty,695,341.9202096680256,246.0
fight,573,243.7128712871287,148.0
filer,237,95.24694234129295,82.0
filet,273,100.69947582993593,74.0
filly,908,426.7693651718113,219.0
filmy,555,239.21432731508446,157.0
filth,453,179.37856726849157,118.0
final,337,129.45428072218988,86.0
finch,562,231.14560279557367,110.0
finer,261,102.17763541059989,69.0
first,326,118.78567268491555,54.0
fishy,507,218.64239953407105,170.0
fixer,363,168.31275480489225,143.0
fizzy,908,546.0972626674433,908.0
fjord,596,280.52941176470586,265.0
flack,517,215.08037274315666,147.0
flail,618,274.7891671520093,271.0
flair,238,94.93826441467677,67.0
flake,310,126.31741409435061,88.0
flaky,528,221.46592894583577,125.0
flame,294,112.72160745486313,74.0
flank,450,180.8800232964473,133.0
flare,229,76.48747815958066,51.0
flash,376,140.64239953407105,83.0
flask,441,176.79382644146767,142.0
fleck,432,202.61327897495633,136.0
fleet,779,288.6062900407688,233.0
flesh,311,135.52300524170064,103.0
flick,590,254.63657542224811,144.0
flier,237,93.1980198019802,71.0
fling,535,217.40885264997087,112.0
flint,393,144.4478741991846,81.0
flirt,286,116.44088526499709,61.0
float,294,111.14676761793827,73.0
flock,550,237.7582993593477,182.0
flood,928,420.47815958066394,192.0
floor,654,281.6872451951077,259.0
flora,243,104.81828771112406,98.0
floss,778,324.44670937682,234.0
flour,323,126.93244030285382,104.0
flout,396,147.71520093185788,109.0
flown,504,212.009900990099,147.0
fluff,965,572.1619103086779,965.0
fluid,512,206.1764705882353,110.0
fluke,399,170.2976121141526,126.0
flume,383,155.9458357600466,118.0
flung,560,239.8258590564939,152.0
flunk,557,247.80489225393129,174.0
flush,484,194.08095515433897,106.0
flute,296,113.2853814793244,75.0
flyer,267,114.15433896330809,88.0
foamy,414,172.1193942923704,155.0
focal,334,136.87070471753057,92.0
focus,462,190.94758299359347,118.0
foggy,887,464.2737332556785,253.0
foist,368,126.07513104251602,82.0
folio,822,341.2882935352359,239.0
folly,887,406.612696563774,241.0
foray,283,121.51252184041934,105.0
force,293,103.80489225393127,87.0
forge,328,120.34420500873617,88.0
forgo,860,402.4117647058824,386.0
forte,263,89.31217239370996,76.0
forth,408,156.79965055329063,79.0
forty,372,147.51951077460689,108.0
forum,467,193.73150844496215,127.0
found,529,208.34536983110075,114.0
foyer,251,113.75946418171229,98.0
frail,238,93.95864880605707,70.0
frame,277,97.5719277810134,63.0
frank,383,152.94758299359347,108.0
fraud,340,136.64705882352942,114.0
freak,292,128.65754222481073,114.0
freed,847,341.66569598136283,227.0
freer,1566,701.9976703552708,383.0
fresh,303,122.61793826441468,86.0
